session_id,target
1,9.232944197957377e-05
2,2.01687179926687e-07
3,1.2880284908417513e-06
4,1.1289962151804528e-06
5,5.3991437336364455e-05
6,5.873513388982651e-05
7,0.003920209686750963
8,0.00028282304715788683
9,2.8610676110293757e-05
10,0.0006221202922899511
11,0.000367872796094497
12,6.391397785800107e-05
13,4.4132047676057957e-05
14,0.08196513827387333
15,0.0024641844650166484
16,0.000289653283615494
17,0.00043906209198365685
18,4.36970794507782e-05
19,0.0014286508828500583
20,3.6780787979550377e-06
21,0.012458863763619921
22,2.1327529249749054e-08
23,0.0008177968132788814
24,0.0002206329665684047
25,0.003759029114692864
26,5.665802383784022e-06
27,0.00023991876247175245
28,8.528564869029631e-08
29,0.02547793664029463
30,0.0007389095978259301
31,0.034819213192780724
32,0.06204584629720399
33,5.573298675793923e-05
34,2.260681072977653e-06
35,0.07699333904539993
36,0.0002161305409413242
37,1.6512756171925284e-08
38,1.2358691898276228e-06
39,0.0007243423509524436
40,3.283917158458634e-06
41,0.004778052671871915
42,0.0004274559452821492
43,4.5106840306189504e-05
44,1.278209883315608e-05
45,0.2395739194511292
46,0.00037454182141697734
47,0.0004197829239021669
48,1.099856371761106e-05
49,0.0007852129698610739
50,4.578278563659042e-06
51,9.009689496046446e-08
52,5.6427798657047065e-05
53,0.014305738877432134
54,0.000391291403386735
55,0.00036572191477110034
56,0.00043019346348037023
57,5.962677989630374e-07
58,3.863552261100675e-06
59,1.582229777287253e-06
60,4.254597805411997e-07
61,9.445697380883876e-06
62,0.0005161124935346832
63,6.140716309069426e-06
64,0.0009263287369384285
65,8.83878515995722e-06
66,6.402707502178714e-06
67,0.0002952736056416647
68,0.0008297074936719966
69,0.0669884927599459
70,2.277883818075449e-05
71,0.0009703974231835762
72,0.0003579056934568778
73,0.0030562523573604396
74,8.591339376867972e-06
75,0.00022883088608693897
76,0.0009321382167917665
77,0.002300456038487628
78,0.003168249298704059
79,6.068042050878086e-05
80,2.324233603736774e-05
81,8.296996462132156e-06
82,4.6844779641290615e-05
83,5.7029754083306004e-08
84,0.8825371355246772
85,0.00013728025315636492
86,4.43780732547017e-06
87,0.00583551195230004
88,0.0007755813302563424
89,0.0024178680990234744
